"food_id","food_name","portion_size","calorie","protein_gr","carbohydrate_gr","fat_gr"
"27211000",Beef and potatoes,Per 100g,133.0,7.92,14.52,4.93
"27211190",Beef and potatoes with cream sauce,Per 100g,100.0,8.04,8.66,3.79
"27211400",Corned beef hash,Per 100g,164.0,8.73,9.27,10.24
"27211500",Beef and potatoes with cheese sauce,Per 100g,126.0,8.15,11.1,5.6
"27212000",Beef and noodles,Per 100g,189.0,11.37,16.24,8.41
"27212050",Beef and macaroni with cheese sauce (Includes: Hamburger Helper Cheddar'n Bacon; Hamburger Helper Nacho Cheese),Per 100g,137.0,9.12,12.26,5.42
"27212100",Beef and noodles with tomato-based sauce (Includes: beef casserole,Per 100g,115.0,8.74,10.67,3.93
"27212120",Chili with macaroni (Includes: chili mac),Per 100g,126.0,8.99,14.35,3.65
"27212200",Beef and noodles with gravy,Per 100g,139.0,7.7,15.39,5.07
"27212300",Beef and noodles with cream or white sauce,Per 100g,140.0,7.86,15.02,5.33
"27212350",Beef stroganoff with noodles (Includes: Hamburger Helper Beef Stroganoff),Per 100g,129.0,7.76,8.99,6.8
"27212400",Beef and noodles with mushroom sauce,Per 100g,136.0,7.54,14.96,5.14
"27212500",Beef and noodles with soy-based sauce,Per 100g,173.0,13.19,7.54,10.05
"27213000",Beef and rice,Per 100g,146.0,7.27,17.23,5.0
"27213010",Biryani with meat (Includes: beef,Per 100g,145.0,8.5,12.19,6.79
"27213100",Beef and rice with tomato-based sauce,Per 100g,136.0,6.39,15.88,5.15
"27213120",Porcupine balls with tomato-based sauce (Includes: beef and rice balls),Per 100g,153.0,10.36,13.39,6.21
"27213200",Beef and rice with gravy,Per 100g,137.0,6.28,15.98,5.12
"27213300",Beef and rice with cream sauce,Per 100g,139.0,6.7,15.9,5.24
"27213400",Beef and rice with mushroom sauce,Per 100g,135.0,6.25,15.53,5.18
"27213420",Porcupine balls with mushroom sauce (Includes: beef and rice balls),Per 100g,157.0,10.34,10.71,7.76
"27213500",Beef and rice with soy-based sauce (Includes: Asian Helper Beef Fried Rice),Per 100g,178.0,13.58,7.96,10.26
"27213600",Beef and rice with cheese sauce (Includes: Hamburger Helper Cheesy Enchilada),Per 100g,142.0,8.08,14.66,5.35
"27214100",Meat loaf made with beef (Includes: beef meat loaf or meatball,Per 100g,199.0,17.48,7.2,10.72
"27214110",Meat loaf made with beef,Per 100g,159.0,13.78,6.77,8.35
"27214300",Beef wellington,Per 100g,368.0,19.16,10.25,27.43
"27214500",Corned beef patty,Per 100g,164.0,8.73,9.27,10.24
"27218210",Beef stew with potatoes,Per 100g,220.0,14.57,6.53,14.85
"27220010",Meat loaf made with ham (Includes: pork meatball,Per 100g,179.0,20.65,6.16,7.52
"27220020",Ham and noodles with cream or white sauce,Per 100g,139.0,6.81,15.32,5.44
"27220030",Ham and rice with mushroom sauce,Per 100g,136.0,5.37,16.28,5.19
"27220050",Ham or pork with stuffing (Includes: stuffed pork chops),Per 100g,143.0,6.26,10.43,8.27
"27220080",Ham croquette,Per 100g,273.0,17.97,2.6,20.74
"27220110",Pork and rice with tomato-based sauce,Per 100g,140.0,6.42,16.78,5.0
"27220120",Sausage and rice with tomato-based sauce,Per 100g,134.0,4.63,16.4,5.49
"27220150",Sausage and rice with mushroom sauce,Per 100g,142.0,4.86,16.8,6.02
"27220170",Sausage and rice with cheese sauce,Per 100g,151.0,6.32,13.94,7.61
"27220190",Sausage and noodles with cream or white sauce,Per 100g,153.0,5.91,14.83,7.8
"27220210",Ham and noodles,Per 100g,144.0,7.15,15.88,5.54
"27220310",Ham or pork and rice,Per 100g,143.0,6.73,16.8,4.99
"27220510",Ham or pork and potatoes with gravy,Per 100g,126.0,5.4,11.68,6.33
"27220520",Ham or pork and potatoes with cheese sauce,Per 100g,127.0,7.86,11.11,5.69
"27221100",Stewed pig's feet,Per 100g,136.0,9.99,4.13,8.7
"27230010",Lamb or mutton loaf,Per 100g,192.0,14.05,7.44,11.58
"27231000",Lamb or mutton and potatoes with gravy,Per 100g,129.0,5.13,12.53,6.46
"27232000",Lamb or mutton and potatoes with tomato-based sauce,Per 100g,126.0,5.26,12.48,6.22
"27233000",Lamb or mutton and noodles with gravy,Per 100g,141.0,6.8,15.63,5.48
"27235000",Meat loaf made with venison/deer (Includes: venison meatball,Per 100g,166.0,19.02,6.31,6.73
"27236000",Venison or deer and noodles with cream or white sauce,Per 100g,141.0,8.37,14.48,5.37
"27241000",Chicken or turkey hash,Per 100g,110.0,9.57,8.27,4.1
"27241010",Chicken or turkey and potatoes with gravy (Includes: Chicken Helper,Per 100g,122.0,7.47,9.04,6.35
"27242000",Chicken or turkey and noodles,Per 100g,148.0,7.73,15.47,6.14
"27242200",Chicken or turkey and noodles with gravy,Per 100g,140.0,6.99,15.23,5.67
"27242250",Chicken or turkey and noodles with mushroom sauce,Per 100g,136.0,6.92,14.86,5.46
"27242300",Chicken or turkey and noodles with cream or white sauce (Includes: chicken or turkey casserole,Per 100g,140.0,7.39,15.24,5.51
"27242310",Chicken or turkey and noodles with cheese sauce,Per 100g,146.0,8.95,13.56,6.16
"27242350",Chicken or turkey tetrazzini,Per 100g,119.0,11.96,6.96,4.79
"27242400",Chicken or turkey and noodles with tomato-based sauce,Per 100g,137.0,7.12,15.17,5.44
"27242500",Chicken or turkey and noodles with soy-based sauce,Per 100g,157.0,11.61,7.6,9.02
"27243000",Chicken or turkey and rice,Per 100g,149.0,6.46,16.97,5.84
"27243100",Biryani with chicken (Includes: Indian rice with chicken),Per 100g,104.0,7.15,13.55,2.38
"27243300",Chicken or turkey and rice with cream sauce (Includes: Chicken Helper Mushroom Chicken with Long Grain and Wild Rice),Per 100g,136.0,8.13,12.78,5.86
"27243400",Chicken or turkey and rice with mushroom sauce,Per 100g,135.0,5.67,15.43,5.48
"27243500",Chicken or turkey and rice with tomato-based sauce,Per 100g,142.0,5.72,15.66,6.18
"27243600",Chicken or turkey and rice with soy-based sauce (Includes: Chicken Helper Chicken Teriyaki),Per 100g,162.0,11.97,8.01,9.21
"27246100",Chicken or turkey with dumplings (Includes: Chicken Helper Chicken and Dumplings),Per 100g,144.0,15.69,8.04,5.55
"27246200",Chicken or turkey with stuffing (Includes: Chicken Helper Chicken and Stuffing),Per 100g,172.0,20.04,11.74,4.88
"27246300",Chicken or turkey cake,Per 100g,262.0,20.83,2.59,18.75
"27246400",Chicken or turkey souffle,Per 100g,171.0,11.72,5.59,11.33
"27246500",Meat loaf made with chicken or turkey (Includes: with breading or NS as to breading,Per 100g,172.0,18.77,8.08,7.27
"27246505",Meat loaf made with chicken or turkey,Per 100g,145.0,15.46,7.29,6.2
"27250060",Gefilte fish,Per 100g,82.0,10.39,8.74,0.41
"27250120",Shrimp and noodles,Per 100g,146.0,7.3,16.43,5.5
"27250122",Shrimp and noodles with gravy,Per 100g,131.0,6.02,14.7,5.18
"27250124",Shrimp and noodles with mushroom sauce,Per 100g,133.0,6.31,15.05,5.24
"27250126",Shrimp and noodles with cream or white sauce,Per 100g,143.0,7.14,16.25,5.32
"27250128",Shrimp and noodles with soy-based sauce,Per 100g,141.0,10.22,8.17,7.25
"27250130",Shrimp and noodles with cheese sauce,Per 100g,136.0,8.18,13.45,5.37
"27250132",Shrimp and noodles with tomato sauce,Per 100g,134.0,6.46,15.39,5.22
"27250160",Tuna cake or patty,Per 100g,206.0,15.33,2.65,14.92
"27250210",Clam cake or patty (Includes: deviled),Per 100g,246.0,19.02,6.79,15.35
"27250250",Flounder with crab stuffing,Per 100g,136.0,15.07,5.73,5.52
"27250260",Lobster with bread stuffing,Per 100g,177.0,14.98,9.83,8.26
"27250270",Clams Casino (Includes: stuffed clams),Per 100g,162.0,11.8,10.3,7.9
"27250410",Shrimp with crab stuffing,Per 100g,174.0,16.39,6.16,9.01
"27250450",Shrimp toast,Per 100g,222.0,8.46,12.01,15.42
"27250520",Imitation crab meat (Includes: imitation sea food; sea stix),Per 100g,95.0,7.62,15.0,0.46
"27250550",Seafood souffle,Per 100g,153.0,9.94,5.56,9.98
"27250610",Tuna noodle casserole with cream or white sauce (Includes: tuna noodle casserole,Per 100g,168.0,10.12,15.41,7.3
